Disaster_ID,Magnitude,Fatalities,Economic_Loss($),Year,Month,Day,DayOfYear,Disaster_Type_Encoded,Location_Encoded
191,2.758619154,9961,775133641.3,2024,1,8,8,4,2
192,8.620624649,8529,820465810.3,2024,1,8,8,3,1
193,6.529288229,7540,983864955.7,2024,1,9,9,3,0
194,1.668435742,1625,947159415,2024,1,9,9,2,5
195,5.092158793,4491,189067878.7,2024,1,9,9,2,5
196,4.720709503,8278,634138973.9,2024,1,9,9,4,3
197,1.023622691,1191,984361264.8,2024,1,9,9,2,0
198,7.856827118,6504,855335110.6,2024,1,9,9,2,1
199,4.067840527,6642,276072969.4,2024,1,9,9,1,0
200,1.235975766,7701,515126230.4,2024,1,9,9,4,1
201,4.805046716,3877,9910183.131,2024,1,9,9,4,2
202,7.032935428,6932,597336589,2024,1,9,9,3,1
203,1.731471705,297,857083843.8,2024,1,9,9,3,0
204,2.457790418,9921,995071682.6,2024,1,9,9,4,5
205,8.950893369,3572,432674708.4,2024,1,9,9,2,0
206,2.644963294,3830,397027384.6,2024,1,9,9,3,0
207,2.885226068,1092,351110190.9,2024,1,9,9,1,4
208,4.724378356,5315,223766335.5,2024,1,9,9,2,2
209,9.78541214,6360,418808633.2,2024,1,9,9,4,2
210,7.95324485,4836,617781601.8,2024,1,9,9,1,5
211,3.019393472,1386,668499785.1,2024,1,9,9,0,3
212,7.779694769,5715,978247493.5,2024,1,9,9,3,0
213,5.453182284,9446,695650408,2024,1,9,9,1,1
214,4.537878889,119,417848475.6,2024,1,9,9,4,3
215,4.144200423,7364,213260010.5,2024,1,9,9,3,4
216,4.20667823,3265,918653731.8,2024,1,9,9,2,5
217,9.214580304,142,31326112.4,2024,1,10,10,3,5
218,9.022133069,3404,2103077.912,2024,1,10,10,3,0
219,8.684174778,737,382980916.4,2024,1,10,10,1,3
220,3.802773098,3015,629099671.1,2024,1,10,10,3,4
221,9.784831187,5245,509508723.8,2024,1,10,10,1,3
222,4.313378405,4847,537779388.1,2024,1,10,10,2,2
223,2.493311566,3935,827862095.2,2024,1,10,10,3,2
224,8.285457533,2093,169488095.8,2024,1,10,10,2,1
225,6.650050175,4010,688390455.1,2024,1,10,10,3,0
226,9.926282754,2372,641563406.3,2024,1,10,10,4,4
227,2.518336907,2757,206473370.2,2024,1,10,10,1,4
228,9.309457237,3000,574664281,2024,1,10,10,2,1
229,6.957206869,6001,669316454.2,2024,1,10,10,2,1
230,6.69381489,4869,658806077.8,2024,1,10,10,3,2
231,5.829037785,2643,440059863.9,2024,1,10,10,4,2
232,8.056837512,9083,37810503.08,2024,1,10,10,3,1
233,7.459673662,5776,936690617.9,2024,1,10,10,0,0
234,6.820133549,9409,759891760.4,2024,1,10,10,1,5
235,1.457647939,120,506539444.9,2024,1,10,10,2,1
236,6.388456515,6701,206951950.8,2024,1,10,10,1,3
237,3.739268868,9748,841997740.2,2024,1,10,10,1,0
238,1.51810459,1691,649250391.9,2024,1,10,10,2,2
239,7.201770315,5043,857999870.5,2024,1,10,10,2,3
240,3.302748163,7322,598136683.9,2024,1,10,10,0,0
241,7.763969804,9158,47797214.22,2024,1,11,11,3,3
242,6.924544296,2647,664035015.5,2024,1,11,11,2,1
243,9.820985781,809,890625814.9,2024,1,11,11,0,5
244,5.389432375,2770,385775416.1,2024,1,11,11,2,4
245,6.467004182,4625,355293705,2024,1,11,11,2,5
246,3.168353748,1283,420538103.2,2024,1,11,11,0,5
247,7.108076475,3655,452226100.7,2024,1,11,11,1,2
248,9.510962898,3690,362617266.2,2024,1,11,11,0,2
249,1.771699164,345,655184263.9,2024,1,11,11,1,2
250,7.152689432,86,882065481.7,2024,1,11,11,1,1
251,7.479281542,8691,264538787.2,2024,1,11,11,2,5
252,3.544704547,6174,794006081.3,2024,1,11,11,4,4
253,9.866386973,1933,577559884.4,2024,1,11,11,3,5
254,3.64191451,6593,68352381.32,2024,1,11,11,2,0
255,9.915516734,7679,413633204.5,2024,1,11,11,0,3
256,2.9242987,4201,541910903.6,2024,1,11,11,1,3
257,8.924503015,337,368445172.4,2024,1,11,11,0,2
258,2.456683145,3711,169245973.5,2024,1,11,11,2,5
259,9.523129873,9280,37340587.14,2024,1,11,11,3,1
260,9.275046951,9337,193224974.3,2024,1,11,11,3,1
261,6.784152193,9670,223456784.6,2024,1,11,11,4,5
262,7.685493715,3254,755444052.8,2024,1,11,11,3,0
263,7.081054198,4370,825425627.3,2024,1,11,11,3,4
264,4.018108174,7747,128833422.9,2024,1,11,11,1,2
265,8.047145257,5827,670778831.2,2024,1,12,12,2,2
266,2.527386249,2162,685346171.2,2024,1,12,12,0,4
267,4.951227462,3097,533022418.1,2024,1,12,12,4,2
268,6.258656155,2858,533028482.7,2024,1,12,12,3,0
269,6.336556038,3285,307211172.1,2024,1,12,12,0,3
270,5.512470279,1227,370356636.1,2024,1,12,12,4,5
271,5.61928957,9267,784229966.2,2024,1,12,12,0,2
272,9.011597439,6424,857899931.7,2024,1,12,12,1,0
273,3.628084191,4741,861231929.6,2024,1,12,12,1,5
274,7.999677183,5187,585381611.4,2024,1,12,12,0,5
275,5.878673283,9125,850593240,2024,1,12,12,0,4
276,5.378543232,2975,654201454,2024,1,12,12,1,4
277,7.098348964,6477,118348243.6,2024,1,12,12,2,5
278,1.815915543,3898,242395239.3,2024,1,12,12,1,4
279,2.071351942,5986,33712494.77,2024,1,12,12,3,0
280,4.176928419,4063,726101843.2,2024,1,12,12,2,1
281,1.462074698,9568,215890032.9,2024,1,12,12,1,3
282,5.059580424,1185,463939712,2024,1,12,12,4,1
283,5.228233734,6299,745113865.3,2024,1,12,12,0,3
284,1.911391967,516,50525297.14,2024,1,12,12,1,2
285,1.569483868,8458,484974499.7,2024,1,12,12,2,4
286,6.644512163,310,477279249.9,2024,1,12,12,2,5
287,9.668984194,5232,935215915.2,2024,1,12,12,1,5
288,1.654854734,3566,915869961.5,2024,1,12,12,0,0
289,9.450199761,1020,938210012,2024,1,13,13,0,1
290,4.213554801,9782,734018720.3,2024,1,13,13,1,3
291,4.657979495,8085,728196689.4,2024,1,13,13,2,0
292,5.700962431,9308,662819603.8,2024,1,13,13,3,0
293,2.636843282,119,97482315.24,2024,1,13,13,0,3
294,5.447698195,3333,942941718.7,2024,1,13,13,1,1
295,5.716667942,5981,735654370.3,2024,1,13,13,3,3
296,5.190270535,2007,66381267.59,2024,1,13,13,3,0
297,6.841813494,4835,53034150.17,2024,1,13,13,2,5
298,7.173168032,4996,816478872,2024,1,13,13,2,2
299,3.038271292,2809,157279282.7,2024,1,13,13,2,0
300,9.898941416,675,956236630.1,2024,1,13,13,4,2
301,1.027125412,2854,62747481.8,2024,1,13,13,3,5
302,3.322801827,2696,625854349.3,2024,1,13,13,0,2
303,9.737114096,4758,472723113.2,2024,1,13,13,0,5
304,9.680914119,2524,705223467.5,2024,1,13,13,3,0
305,7.588165765,3263,737558516.8,2024,1,13,13,3,2
306,1.117475685,4702,700595665.9,2024,1,13,13,1,0
307,6.104071512,3181,958131875.2,2024,1,13,13,4,2
308,1.66318636,2709,711802847.5,2024,1,13,13,4,4
309,7.603265141,5379,53363486.97,2024,1,13,13,3,4
310,6.858391857,6668,261374097.4,2024,1,13,13,0,4
311,5.5043876,3640,310261227.7,2024,1,13,13,1,3
312,7.559112966,8398,362213065,2024,1,13,13,4,5
313,8.922218897,2501,489724066.5,2024,1,14,14,4,5
314,6.533785407,3480,949932346.5,2024,1,14,14,3,0
315,5.507404138,4221,749642503.8,2024,1,14,14,4,0
316,7.889365127,3921,305020324.1,2024,1,14,14,1,0
317,1.717908045,7699,985304555.1,2024,1,14,14,1,2
318,7.836373033,5823,193207042.8,2024,1,14,14,1,4
319,6.749098498,4994,674573482.5,2024,1,14,14,3,1
320,8.857394313,1926,782271649.4,2024,1,14,14,0,5
321,1.804498371,6840,534164072.1,2024,1,14,14,3,1
322,7.015125872,1676,2565450.086,2024,1,14,14,4,2
323,5.79539089,2928,954476480.8,2024,1,14,14,1,1
324,3.177527394,8944,955154979.3,2024,1,14,14,3,0
325,3.837521319,3959,808637827.7,2024,1,14,14,1,2
326,3.957383464,7333,428725021.5,2024,1,14,14,1,0
327,4.802806532,87,720278327.9,2024,1,14,14,1,4
328,6.113599595,9551,431254381.1,2024,1,14,14,1,3
329,1.137587467,1264,170268599.9,2024,1,14,14,2,4
330,4.93720604,7453,109740585.7,2024,1,14,14,3,2
331,3.263584959,510,152326628,2024,1,14,14,3,3
332,1.501420689,315,443353834.2,2024,1,14,14,0,1
333,7.306765472,7899,96356929.57,2024,1,14,14,1,3
334,3.175125692,1660,575170680.4,2024,1,14,14,4,4
335,5.41642832,8677,910468441.6,2024,1,14,14,1,2
336,9.987078422,6628,32783925.21,2024,1,14,14,1,3
337,1.570295086,2949,678005951.9,2024,1,15,15,4,3
338,2.264408211,3784,670747818.8,2024,1,15,15,4,4
339,6.912911536,5843,785463746.3,2024,1,15,15,4,4
340,6.72691763,1147,74216284.46,2024,1,15,15,1,0
341,2.860352853,7794,411672199.5,2024,1,15,15,2,5
342,1.940365678,7719,35475366.03,2024,1,15,15,4,1
343,3.826550104,5710,520900332.6,2024,1,15,15,4,5
344,9.875334954,757,608162299.5,2024,1,15,15,0,5
345,1.997913455,9741,73892568.11,2024,1,15,15,4,4
346,5.729892213,3711,913414319.5,2024,1,15,15,4,4
347,3.076630157,2088,723660044.6,2024,1,15,15,2,2
348,2.688842695,7310,890677374.9,2024,1,15,15,3,1
349,9.026874754,4238,925906962.9,2024,1,15,15,3,4
350,1.749887986,695,119114192.9,2024,1,15,15,3,3
351,3.28679803,7632,540369731.7,2024,1,15,15,3,4
352,7.910700469,1635,980313582.2,2024,1,15,15,4,5
353,1.964542912,9477,36576158.51,2024,1,15,15,0,0
354,4.59664009,3500,10377087.98,2024,1,15,15,4,4
355,8.053022143,4903,988887747.6,2024,1,15,15,2,4
356,3.456698421,2672,787863705.4,2024,1,15,15,1,3
357,9.13909646,2898,643117204.9,2024,1,15,15,3,0
358,9.564654187,1519,708984611.2,2024,1,15,15,2,4
359,5.681586636,2645,883497845.7,2024,1,15,15,3,2
360,6.024111697,5981,927739792.3,2024,1,15,15,2,2
361,2.842984387,1537,842906244.8,2024,1,16,16,3,5
362,2.892146563,5411,611752834.6,2024,1,16,16,0,4
363,7.932020221,970,721252720.6,2024,1,16,16,0,4
364,7.470403502,2451,83772252.1,2024,1,16,16,1,2
365,1.252634488,6503,644091427.1,2024,1,16,16,0,1
366,3.172590804,9785,182720723.8,2024,1,16,16,2,1
367,3.647809835,1102,643671962.5,2024,1,16,16,3,4
368,2.964952038,9741,325890213.4,2024,1,16,16,2,3
369,4.378812325,8894,264766758.7,2024,1,16,16,1,1
370,2.357663502,6186,432237749.7,2024,1,16,16,2,5
371,2.821452154,5425,520949877.4,2024,1,16,16,1,3
372,9.644448753,2921,90508675.55,2024,1,16,16,0,5
373,5.857796462,1407,508976777.2,2024,1,16,16,2,1
374,3.349985053,1341,558582311.7,2024,1,16,16,4,5
375,3.125359896,9190,876768723.7,2024,1,16,16,1,3
376,8.882773424,8626,852543067.7,2024,1,16,16,1,3
377,5.998476501,3903,828181968,2024,1,16,16,4,2
378,4.848629492,8029,960674160.5,2024,1,16,16,3,1
379,7.529929371,3468,986595965.6,2024,1,16,16,1,0
380,6.983376576,9487,35588408.94,2024,1,16,16,1,2
381,3.73490846,8869,596817291.6,2024,1,16,16,3,2
382,6.85246051,8660,315116548.7,2024,1,16,16,2,2
383,9.185213529,2012,935573287.5,2024,1,16,16,4,3
384,3.03299667,4236,153013490.3,2024,1,16,16,0,5
385,4.406076697,9040,942444920.4,2024,1,17,17,0,0
386,4.414418554,8561,805566741.6,2024,1,17,17,4,0
387,1.342771703,8225,863073868.1,2024,1,17,17,1,0
388,7.028506315,2942,96849883.24,2024,1,17,17,3,3
389,8.521532057,2615,484557747.7,2024,1,17,17,1,1
390,9.591642854,2988,849361868.8,2024,1,17,17,1,1
391,4.167777737,7249,51143192.07,2024,1,17,17,2,2
392,5.173175035,4636,854865359.3,2024,1,17,17,2,5
393,1.656503348,6948,743276566.3,2024,1,17,17,1,5
394,7.375800749,4290,428049488.8,2024,1,17,17,3,2
395,6.124371579,2818,537710304.4,2024,1,17,17,3,5
396,8.457559955,4189,208981190.2,2024,1,17,17,2,2
397,2.612782993,4871,997589573.3,2024,1,17,17,0,1
398,4.521426641,7246,833682064.2,2024,1,17,17,2,1
399,4.378708845,5944,528178505.4,2024,1,17,17,3,1
400,6.152142528,8946,958184676.4,2024,1,17,17,2,3
401,9.37189343,8224,990031452.7,2024,1,17,17,4,0
402,4.551376555,2259,103796357.1,2024,1,17,17,3,3
403,8.029479867,8824,401325615.3,2024,1,17,17,0,4
404,2.046568054,4,852457444.1,2024,1,17,17,3,1
405,1.224742012,6395,384760020.1,2024,1,17,17,0,0
406,4.824429654,3739,744380771,2024,1,17,17,1,1
407,3.895437575,7574,234490237.8,2024,1,17,17,1,0
408,1.089242543,698,488502568.3,2024,1,17,17,2,5
409,9.218787932,9208,49282066.69,2024,1,18,18,4,4
410,2.64310834,6434,54006902.18,2024,1,18,18,4,5
411,5.131796693,4996,903016526.8,2024,1,18,18,1,5
412,7.665707727,1145,327450855.3,2024,1,18,18,3,5
413,3.858897377,4944,889875968.7,2024,1,18,18,3,2
414,5.884032508,5871,609098546.6,2024,1,18,18,4,1
415,4.339837136,4958,497688125.4,2024,1,18,18,2,2
416,3.946777702,2399,811738961.7,2024,1,18,18,4,4
417,2.472367458,5313,734286392.8,2024,1,18,18,3,0
418,9.947601003,4885,894402318.2,2024,1,18,18,4,5
419,6.064121764,6199,450458495.7,2024,1,18,18,0,0
420,7.727364702,5178,707555917.1,2024,1,18,18,4,3
421,4.471286543,7718,270609827.9,2024,1,18,18,2,5
422,3.898243302,4651,13064978.87,2024,1,18,18,0,5
423,3.251715627,6603,883805681.1,2024,1,18,18,2,5
424,8.661911355,364,507446328,2024,1,18,18,3,0
425,2.45548927,6358,601655595.5,2024,1,18,18,0,3
426,8.612892646,6089,779221217.1,2024,1,18,18,3,1
427,2.402448106,7531,196787686.8,2024,1,18,18,0,5
428,7.874003237,6454,207957605.2,2024,1,18,18,2,4
429,7.270306457,9427,624803445.9,2024,1,18,18,0,0
430,6.070682221,9282,610049188.5,2024,1,18,18,1,0
431,4.870679599,3450,688989531,2024,1,18,18,0,3
432,3.427933009,7964,252062996.6,2024,1,18,18,0,0
433,1.361335804,6770,278045694.3,2024,1,19,19,4,1
434,1.278105428,1378,562224707.6,2024,1,19,19,2,4
435,1.234400033,9377,320967931.2,2024,1,19,19,3,5
436,7.258889041,5073,564400195.6,2024,1,19,19,2,0
437,5.008676386,4140,834572554.2,2024,1,19,19,0,2
438,8.317486592,4301,421436158.4,2024,1,19,19,0,5
439,7.282520675,2670,765846455.1,2024,1,19,19,0,1
440,9.824916292,8658,800257060.9,2024,1,19,19,0,5
441,5.633013799,7702,253968871.1,2024,1,19,19,4,3
442,7.904366523,5440,973545558.4,2024,1,19,19,0,5
443,9.993326307,9608,2721732.05,2024,1,19,19,1,3
444,6.441848126,2865,205322129,2024,1,19,19,4,2
445,2.591495349,1382,224152754.4,2024,1,19,19,3,0
446,7.299193222,8235,357946904.9,2024,1,19,19,1,0
447,1.363011023,8170,651349544.9,2024,1,19,19,3,3
448,8.010440094,3254,385893583.6,2024,1,19,19,4,0
449,1.30345286,7231,810279819.7,2024,1,19,19,0,3
450,7.014071348,3829,821913393.2,2024,1,19,19,1,3
451,4.622462913,2522,187360429.7,2024,1,19,19,1,5
452,7.844251786,5244,600948627,2024,1,19,19,3,1
453,5.825538982,6621,531009613.9,2024,1,19,19,0,1
454,6.860046445,6339,568354704.6,2024,1,19,19,0,3
455,5.215267938,4591,204919385.6,2024,1,19,19,0,0
456,2.88679606,3026,588982781.4,2024,1,19,19,0,5
457,4.968489995,8737,633180172.4,2024,1,20,20,0,4
458,2.461562207,216,879631999.9,2024,1,20,20,3,0
459,6.263580967,4606,600808313.5,2024,1,20,20,1,5
460,1.069436899,4435,209863045.2,2024,1,20,20,0,2
461,4.951387771,8398,715239871.6,2024,1,20,20,4,4
462,9.562146817,9748,242333114.2,2024,1,20,20,1,3
463,2.763979177,4596,675060017.4,2024,1,20,20,2,5
464,9.640790212,8310,512151880.9,2024,1,20,20,0,3
465,8.701217734,2504,921603631.6,2024,1,20,20,1,3
